epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,2233.04,0.68727,0.4301,0.90566,0.81867,0.62267,0.65885,0.43816,1.05431,0.76363,1.00785,0.00848671,0.00848671,0.00848671
109,2253.81,0.66448,0.4199,0.89466,0.80408,0.63008,0.64374,0.42327,1.05166,0.73224,1.01498,0.00847257,0.00847257,0.00847257
110,2274.81,0.66726,0.41343,0.89424,0.83737,0.61506,0.63741,0.42479,1.04596,0.72304,1.00524,0.00845843,0.00845843,0.00845843
111,2295.91,0.67255,0.41809,0.90827,0.81463,0.6108,0.63084,0.41961,1.0491,0.71039,1.0096,0.00844429,0.00844429,0.00844429
112,2316.68,0.68107,0.42945,0.90457,0.79499,0.62035,0.62485,0.41999,1.08238,0.76151,1.01061,0.00843014,0.00843014,0.00843014
113,2337.73,0.67079,0.41769,0.90205,0.89035,0.6391,0.65395,0.43491,1.05739,0.79476,1.0145,0.008416,0.008416,0.008416
114,2358.48,0.66485,0.42217,0.89986,0.7231,0.64842,0.62711,0.41866,1.09641,0.76807,1.02589,0.00840186,0.00840186,0.00840186
115,2379.41,0.66736,0.41811,0.89909,0.8519,0.65737,0.65414,0.43141,1.04341,0.73384,1.00501,0.00838771,0.00838771,0.00838771
116,2400.35,0.68812,0.42067,0.90454,0.76832,0.6237,0.62015,0.41924,1.10027,0.72264,1.0298,0.00837357,0.00837357,0.00837357
117,2421.07,0.66193,0.41777,0.90586,0.78562,0.6486,0.64286,0.43499,1.03362,0.72653,1.00479,0.00835943,0.00835943,0.00835943
118,2442.06,0.67761,0.41877,0.90481,0.88119,0.63644,0.67068,0.42733,1.04219,0.76692,1.00509,0.00834529,0.00834529,0.00834529
119,2463.19,0.66142,0.40624,0.90169,0.77498,0.64763,0.64687,0.42631,1.08396,0.69867,1.01717,0.00833114,0.00833114,0.00833114
120,2483.94,0.67537,0.42352,0.90343,0.80367,0.621,0.62628,0.41033,1.06329,0.74578,1.01007,0.008317,0.008317,0.008317
121,2504.86,0.67113,0.4257,0.90425,0.75499,0.64108,0.63463,0.43003,1.05614,0.74031,1.00398,0.00830286,0.00830286,0.00830286
122,2525.8,0.65924,0.41146,0.90183,0.78215,0.61908,0.62007,0.4227,1.06782,0.67444,1.01496,0.00828871,0.00828871,0.00828871
123,2546.79,0.66674,0.41066,0.8998,0.76759,0.63497,0.6163,0.41299,1.06657,0.70034,1.01589,0.00827457,0.00827457,0.00827457
124,2567.68,0.65724,0.41022,0.90008,0.77021,0.61409,0.61732,0.41051,1.06137,0.72638,1.00958,0.00826043,0.00826043,0.00826043
